lib,trial,test_group,type,region,thread_ms,real_ms,iters,total_cpu_ms,total_real_ms,soft_faults,hard_faults
lua,23,loop,perf,Open,1.371,1.385,1,,,
lua,23,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.110,0.111,1000,,,
lua,23,loop,perf,Close,0.135,0.135,1,,,
lua,23,loop,function,parse multiple values of the same table,,,1,3.696,3.919,92,0
confh,24,loop,perf,Open,1.389,1.409,1,,,
confh,24,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.405,1.436,1000,,,
confh,24,loop,perf,Close,0.100,0.100,1,,,
confh,24,loop,function,parse multiple values of the same table,,,1,6.766,7.009,92,0
lua,24,loop,perf,Open,1.244,1.261,1,,,
lua,24,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.112,0.113,1000,,,
lua,24,loop,perf,Close,0.109,0.116,1,,,
lua,24,loop,function,parse multiple values of the same table,,,1,3.422,3.614,91,0
confh,25,loop,perf,Open,1.392,1.418,1,,,
confh,25,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.319,1.325,1000,,,
confh,25,loop,perf,Close,0.081,0.081,1,,,
confh,25,loop,function,parse multiple values of the same table,,,1,5.642,5.908,91,0
lua,25,loop,perf,Open,2.120,2.158,1,,,
lua,25,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.249,0.250,1000,,,
lua,25,loop,perf,Close,0.255,0.256,1,,,
lua,25,loop,function,parse multiple values of the same table,,,1,6.776,7.094,91,0
confh,26,loop,perf,Open,4.422,4.543,1,,,
confh,26,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,3.323,3.374,1000,,,
confh,26,loop,perf,Close,0.229,0.229,1,,,
confh,26,loop,function,parse multiple values of the same table,,,1,15.743,16.673,91,0
lua,26,loop,perf,Open,3.257,3.312,1,,,
lua,26,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.271,0.271,1000,,,
lua,26,loop,perf,Close,0.283,0.301,1,,,
lua,26,loop,function,parse multiple values of the same table,,,1,7.557,8.035,90,0
confh,27,loop,perf,Open,4.258,4.427,1,,,
confh,27,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,3.347,3.377,1000,,,
confh,27,loop,perf,Close,0.220,0.220,1,,,
confh,27,loop,function,parse multiple values of the same table,,,1,14.710,15.565,91,0
lua,27,loop,perf,Open,3.105,3.187,1,,,
lua,27,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.223,0.224,1000,,,
lua,27,loop,perf,Close,0.225,0.240,1,,,
lua,27,loop,function,parse multiple values of the same table,,,1,7.863,8.334,91,0
confh,28,loop,perf,Open,1.277,1.297,1,,,
confh,28,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.531,1.578,1000,,,
confh,28,loop,perf,Close,0.096,0.096,1,,,
confh,28,loop,function,parse multiple values of the same table,,,1,6.690,7.022,92,0
lua,28,loop,perf,Open,1.250,1.259,1,,,
lua,28,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.196,0.216,1000,,,
lua,28,loop,perf,Close,0.098,0.098,1,,,
lua,28,loop,function,parse multiple values of the same table,,,1,3.623,3.866,91,0
confh,29,loop,perf,Open,1.303,1.317,1,,,
confh,29,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.795,1.810,1000,,,
confh,29,loop,perf,Close,0.110,0.110,1,,,
confh,29,loop,function,parse multiple values of the same table,,,1,6.851,7.088,92,0
lua,29,loop,perf,Open,1.554,1.591,1,,,
lua,29,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.174,0.174,1000,,,
lua,29,loop,perf,Close,0.153,0.153,1,,,
lua,29,loop,function,parse multiple values of the same table,,,1,5.251,5.688,92,0
confh,30,loop,perf,Open,3.145,3.213,1,,,
confh,30,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,3.839,3.934,1000,,,
confh,30,loop,perf,Close,0.229,0.229,1,,,
confh,30,loop,function,parse multiple values of the same table,,,1,14.318,15.315,91,0
lua,30,loop,perf,Open,3.042,3.127,1,,,
lua,30,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.171,0.171,1000,,,
lua,30,loop,perf,Close,0.213,0.212,1,,,
lua,30,loop,function,parse multiple values of the same table,,,1,7.239,7.670,91,0
confh,31,loop,perf,Open,1.332,1.415,1,,,
confh,31,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.485,1.495,1000,,,
confh,31,loop,perf,Close,0.140,0.140,1,,,
confh,31,loop,function,parse multiple values of the same table,,,1,5.748,6.063,92,0
lua,31,loop,perf,Open,1.352,1.363,1,,,
lua,31,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.117,0.117,1000,,,
lua,31,loop,perf,Close,0.119,0.119,1,,,
lua,31,loop,function,parse multiple values of the same table,,,1,3.731,3.990,90,0
confh,32,loop,perf,Open,1.302,1.334,1,,,
confh,32,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,2.077,2.111,1000,,,
confh,32,loop,perf,Close,0.140,0.141,1,,,
confh,32,loop,function,parse multiple values of the same table,,,1,7.387,7.653,92,0
lua,32,loop,perf,Open,1.481,1.512,1,,,
lua,32,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.109,0.109,1000,,,
lua,32,loop,perf,Close,0.154,0.170,1,,,
lua,32,loop,function,parse multiple values of the same table,,,1,3.828,4.091,91,0
confh,33,loop,perf,Open,1.218,1.231,1,,,
confh,33,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.425,1.432,1000,,,
confh,33,loop,perf,Close,0.140,0.140,1,,,
confh,33,loop,function,parse multiple values of the same table,,,1,5.648,5.866,92,0
lua,33,loop,perf,Open,1.335,1.346,1,,,
lua,33,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.108,0.108,1000,,,
lua,33,loop,perf,Close,0.109,0.110,1,,,
lua,33,loop,function,parse multiple values of the same table,,,1,3.485,3.680,91,0
confh,34,loop,perf,Open,1.268,1.279,1,,,
confh,34,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.781,1.791,1000,,,
confh,34,loop,perf,Close,0.115,0.115,1,,,
confh,34,loop,function,parse multiple values of the same table,,,1,6.977,7.222,93,0
lua,34,loop,perf,Open,1.258,1.267,1,,,
lua,34,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.119,0.129,1000,,,
lua,34,loop,perf,Close,0.118,0.118,1,,,
lua,34,loop,function,parse multiple values of the same table,,,1,3.531,3.735,91,0
confh,35,loop,perf,Open,1.269,1.281,1,,,
confh,35,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.291,1.301,1000,,,
confh,35,loop,perf,Close,0.089,0.089,1,,,
confh,35,loop,function,parse multiple values of the same table,,,1,6.074,6.325,91,0
lua,35,loop,perf,Open,1.414,1.427,1,,,
lua,35,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.118,0.118,1000,,,
lua,35,loop,perf,Close,0.121,0.121,1,,,
lua,35,loop,function,parse multiple values of the same table,,,1,3.856,4.076,92,0
confh,36,loop,perf,Open,1.408,1.426,1,,,
confh,36,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.814,1.843,1000,,,
confh,36,loop,perf,Close,0.123,0.123,1,,,
confh,36,loop,function,parse multiple values of the same table,,,1,7.274,7.618,92,0
lua,36,loop,perf,Open,1.407,1.433,1,,,
lua,36,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.117,0.118,1000,,,
lua,36,loop,perf,Close,0.120,0.121,1,,,
lua,36,loop,function,parse multiple values of the same table,,,1,3.755,3.951,91,0
confh,37,loop,perf,Open,1.570,1.588,1,,,
confh,37,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.268,1.272,1000,,,
confh,37,loop,perf,Close,0.090,0.090,1,,,
confh,37,loop,function,parse multiple values of the same table,,,1,5.659,5.920,92,0
lua,37,loop,perf,Open,1.223,1.249,1,,,
lua,37,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.133,0.133,1000,,,
lua,37,loop,perf,Close,0.122,0.130,1,,,
lua,37,loop,function,parse multiple values of the same table,,,1,2.969,3.141,91,0
confh,38,loop,perf,Open,1.335,1.375,1,,,
confh,38,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.265,1.271,1000,,,
confh,38,loop,perf,Close,0.083,0.083,1,,,
confh,38,loop,function,parse multiple values of the same table,,,1,5.358,5.606,92,0
lua,38,loop,perf,Open,1.294,1.329,1,,,
lua,38,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.112,0.112,1000,,,
lua,38,loop,perf,Close,0.094,0.094,1,,,
lua,38,loop,function,parse multiple values of the same table,,,1,3.001,3.201,91,0
confh,39,loop,perf,Open,1.292,1.311,1,,,
confh,39,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.260,1.267,1000,,,
confh,39,loop,perf,Close,0.086,0.086,1,,,
confh,39,loop,function,parse multiple values of the same table,,,1,5.353,5.649,92,0
lua,39,loop,perf,Open,1.443,1.481,1,,,
lua,39,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.110,0.131,1000,,,
lua,39,loop,perf,Close,0.096,0.096,1,,,
lua,39,loop,function,parse multiple values of the same table,,,1,3.162,3.466,91,0
confh,40,loop,perf,Open,1.350,1.392,1,,,
confh,40,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,2.004,2.035,1000,,,
confh,40,loop,perf,Close,0.149,0.149,1,,,
confh,40,loop,function,parse multiple values of the same table,,,1,6.695,6.949,93,0
lua,40,loop,perf,Open,1.301,1.321,1,,,
lua,40,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,0.108,0.108,1000,,,
lua,40,loop,perf,Close,0.112,0.116,1,,,
lua,40,loop,function,parse multiple values of the same table,,,1,3.524,3.737,91,0
confh,41,loop,perf,Open,1.789,1.802,1,,,
confh,41,loop,perf,Get Int: Table.table.table.table.table.table.table.table.table.%%d.number,1.376,1.382,1000,,,
confh,41,loop,perf,Close,0.093,0.093,1,,,
confh,41,loop,function,parse multiple values of the same table,,,1,6.207,6.474,91,0
